Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Hungary,5468,4973.34792,4967.01468,4858.89245,4847.12365,5026.49339,4975.25213,4893.8428,5043.21213,5121.01929,-9.046307242,-9.162130944,-11.13949433,-11.35472476,-8.074371068,-9.011482626,-10.50031456,-7.768615033,-6.345660388
India,3439.8,2535.17144,2528.55225,2521.20645,2486.85821,2454.88151,2468.15546,2337.42552,,,-26.29887086,-26.49130037,-26.70485348,-27.70340688,-28.63301616,-28.24712309,-32.047633,,
Iran (Islamic Republic of),1559.1,2082.20498,2099.42654,2116.90395,2146.43431,2158.20837,2167.71087,2147.98628,2132.52739,2123.30519,33.55172728,34.65631069,35.77730421,37.67136874,38.42655186,39.0360381,37.77091142,36.7793849,36.18787698
Iraq,2944.5,3551.82987,3741.86127,3647.97302,3653.81301,3620.8758,1943.18071,1875.93793,1738.93439,1693.4988,20.6259083,27.07968314,23.89108575,24.08942129,22.97082017,-34.0064286,-36.29010256,-40.94296519,-42.48603158
Ireland,7765.9,8996.24355,8992.76741,8990.78238,8987.51829,8978.53033,8963.55987,8983.74847,8822.10171,8756.37668,15.84289715,15.79813557,15.77257472,15.73054366,15.61480743,15.42203569,15.68200041,13.60050619,12.75417762
Israel,2301.1,2298.4409,2297.99324,2303.8913,2297.94121,2333.94099,2433.22903,2350.91891,2311.51431,2239.90858,-0.115557777,-0.135011951,0.121302855,-0.137273043,1.427186563,5.741994264,2.165004128,0.452579636,-2.659224719
Italy,3924.8,3367.11114,3340.99337,3315.14981,3332.21763,3355.99491,3257.94517,3417.53124,3395.2842,3405.00214,-14.20935742,-14.87481222,-15.53328042,-15.09840935,-14.4925879,-16.99079775,-12.92470342,-13.49153587,-13.24393243
Japan,4465.2,4293.58763,4250.27175,4195.7838,4164.18409,4029.4774,3994.48486,4029.65048,4016.07688,4063.07651,-3.843329974,-4.813407014,-6.033687181,-6.74137575,-9.758187763,-10.54186016,-9.754311565,-10.05829795,-9.005721804
Jordan,2237.5,1683.11211,1715.06517,1865.79867,1684.76904,1674.03855,1640.64106,1445.1692,1396.97863,1266.9103,-24.7771124,-23.34904268,-16.61234994,-24.70305966,-25.18263464,-26.67525989,-35.4114324,-37.56520089,-43.37831061
Kazakhstan,1182.5,1599.07141,1546.31639,1481.9361,1504.27459,1574.64346,1591.99214,1593.70689,1561.47693,1652.29368,35.22802622,30.76671374,25.32229175,27.21138182,33.16223763,34.62935645,34.77436702,32.04878901,39.72885243
Kenya,3060.6,2225.20213,2208.75521,2186.05482,2172.01408,2200.31562,2113.17302,2092.25135,2093.50807,2138.15198,-27.29523198,-27.83260766,-28.57430504,-29.0330628,-28.10835718,-30.95559629,-31.63917696,-31.59811573,-30.13945043
Kyrgyzstan,2546.5,2303.95697,2292.11029,2302.30487,2305.98556,2299.97049,2307.69708,2282.95692,2280.65837,2268.78532,-9.524564304,-9.98977852,-9.589441586,-9.444902415,-9.681111722,-9.377691734,-10.34922757,-10.43949067,-10.90574043
Latvia,5338.4,5475.43795,5469.1925,5472.5127,5473.51435,5485.50643,5496.80562,5663.22147,5731.07321,5835.66494,2.567022891,2.450031845,2.51222651,2.530989622,2.755627716,2.967286453,6.084622171,7.355634834,9.3148685
Lebanon,3414.6,2914.32356,2860.10739,2852.06519,2882.69493,2922.88066,2778.37015,2826.60366,2835.80142,2843.67278,-14.6510994,-16.23887454,-16.47439847,-15.57737568,-14.4004961,-18.63263193,-17.22006501,-16.95069935,-16.72017864
