Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Kenya,999.4,1091.65067,1086.51567,1069.86286,1075.19916,1083.60631,1130.09706,1117.91267,1072.58264,,9.230605363,8.716797078,7.05051631,7.58446668,8.425686412,13.07755253,11.85838203,7.322657595,
Kyrgyzstan,2009.5,1330.78487,1306.65894,1317.85095,1444.94405,1603.6358,1505.44891,1480.03939,1312.66647,,-33.77532371,-34.97591739,-34.41896243,-28.09434934,-20.19727295,-25.08340831,-26.34787808,-34.67696094,
Lao People's Democratic Republic,1790.3,1558.31136,1562.47306,1580.30086,1599.09278,1602.65351,1624.07218,1669.84239,1670.10254,,-12.95808747,-12.72562922,-11.72982964,-10.68017762,-10.48128749,-9.28491426,-6.728347763,-6.713816679,
Liberia,427.3,466.92023,465.07417,450.58152,767.93622,451.85511,444.05036,427.47555,419.87599,,9.272227943,8.840198923,5.448518605,79.71828224,5.746573836,3.920046806,0.041083548,-1.737423356,
Lithuania,1236.7,1786.2392,1768.01735,1753.24761,1757.93221,1830.60727,1908.2645,2016.58652,1992.41291,1957.17667,44.43593434,42.9625091,41.76822269,42.1470211,48.0235522,54.30294332,63.06190022,61.10721355,58.25799871
Luxembourg,3000,1741.91944,1706.67265,1607.14881,1879.5904,1960.5403,2001.96909,2074.64766,2237.59273,2419.24618,-41.93601867,-43.11091167,-46.428373,-37.34698667,-34.64865667,-33.267697,-30.845078,-25.41357567,-19.35846067
Madagascar,599.5,644.87975,655.0121,624.31147,640.91901,711.22557,723.36361,735.10312,724.04771,767.56113,7.569599666,9.259733111,4.138693912,6.908925771,18.63645872,20.66115263,22.61936947,20.77526439,28.03354962
Malawi,1000,1024.30394,1039.53143,1057.24166,1055.99376,1029.4528,1080.08318,1076.55995,948.99508,,2.430394,3.953143,5.724166,5.599376,2.94528,8.008318,7.655995,-5.100492,
Mali,655.7,958.10808,983.24304,971.12528,1011.16709,1006.85892,974.71699,1087.29303,1089.23166,,46.11988409,49.95318591,48.10512124,54.21184841,53.5548147,48.65288852,65.82172182,66.1173799,
Mexico,1567.2,1634.14912,1629.2016,1641.94835,1627.41656,1615.07078,1619.32648,1666.17985,1661.01023,,4.271893823,3.956202144,4.769547601,3.842302195,3.054541858,3.326089842,6.315712736,5.985849285,
Morocco,1000,1229.05404,1156.65536,1220.21935,1049.98755,1038.10906,1033.60405,1031.34944,1124.00133,1170.85808,22.905404,15.665536,22.021935,4.998755,3.810906,3.360405,3.134944,12.400133,17.085808
Mozambique,1666.7,1054.4368,1029.07875,1105.03199,1094.54292,1118.82263,1082.56652,1030.36239,964.35638,1257.07476,-36.7350573,-38.25650987,-33.69940661,-34.32873823,-32.87198476,-35.04730785,-38.17949301,-42.1397744,-24.57702286
Myanmar,1029.6,1272.65146,1267.28514,1278.50945,1280.12387,1246.75408,1255.10071,1251.58212,,,23.60639666,23.08519231,24.17535451,24.33215521,21.09111111,21.90177836,21.56003497,,
Nepal,1290.2,1140.10498,1144.85729,1154.6012,1277.60241,1289.9537,1356.75506,1260.7888,1217.45156,1766.97635,-11.63346923,-11.26513021,-10.50990544,-0.976405984,-0.019090064,5.158507208,-2.279584561,-5.638539761,36.95367772
Nicaragua,2500,1971.43421,1958.29986,1947.29252,1929.9122,1962.2581,1980.46864,2028.76061,2002.88328,,-21.1426316,-21.6680056,-22.1082992,-22.803512,-21.509676,-20.7812544,-18.8495756,-19.8846688,
